Time(s)	CPU	GPU	LGPU
765s	3.1	99	96
766s	3.2	99	99
768s	3.1	100	100
769s	3.2	99	99
770s	3.1	100	100
772s	4.6	100	100
773s	3.2	100	100
774s	3.2	99	99
776s	3.3	100	99
777s	3.2	100	100
778s	3.1	100	100
780s	3.2	100	99
781s	3.2	100	100
782s	3.2	65	48
784s	0.2	0	0
785s	47.3	0	0
787s	61.5	0	0
788s	17.7	63	0
789s	3.1	98	98
791s	3.2	100	99
792s	3.2	100	100
793s	3.1	100	99
795s	3.1	100	100
796s	3.2	100	100
797s	3.2	100	100
799s	3.2	99	99
800s	3.1	100	99
802s	3.2	100	100
803s	3.2	100	99
804s	3.2	99	99
806s	3.2	100	100
807s	3.2	100	100
808s	3.2	100	100
810s	3.1	100	99
811s	0.2	0	0
812s	6.8	0	0
814s	56.2	0	0
815s	46.0	1	0
816s	3.2	100	100
818s	3.2	100	100
819s	3.2	100	99
820s	3.2	100	100
822s	3.1	100	100
823s	3.1	98	96
825s	3.1	100	99
826s	3.2	100	100
827s	3.1	100	99
829s	3.1	99	99
830s	3.2	100	100
831s	3.2	100	100
833s	3.1	99	99
834s	3.2	100	100
835s	3.2	100	100
837s	3.2	100	100
838s	0.4	0	0
839s	0.2	0	0
841s	58.0	0	0
842s	56.0	5	0
844s	4.8	100	100
845s	3.1	100	100
846s	3.2	100	100
848s	3.2	100	100
849s	3.1	100	96
850s	3.2	100	99
852s	3.1	100	100
853s	3.2	100	100
854s	3.2	100	99
856s	3.2	100	99
857s	3.2	100	99
859s	3.2	100	100
860s	3.2	100	100
862s	3.2	100	100
864s	3.2	100	100
865s	0.4	0	0
867s	6.6	0	0
868s	53.6	0	0
870s	31.9	44	0
871s	3.2	98	98
873s	3.1	100	98
874s	3.1	100	100
875s	3.2	99	99
877s	5.6	99	99
878s	3.2	100	100
879s	3.2	100	100
881s	3.2	100	100
882s	3.2	99	98
883s	3.1	100	100
885s	3.2	100	100
886s	3.2	99	99
888s	3.2	100	100
889s	3.2	100	100
890s	3.2	100	99
892s	3.2	100	100
893s	0.2	0	0
894s	9.7	0	0
896s	58.1	0	0
897s	42.8	32	0
899s	3.3	100	100
900s	3.2	100	100
901s	3.2	100	100
903s	3.2	100	100
904s	3.1	99	99
905s	3.1	99	99
907s	3.2	100	100
908s	3.2	99	99
909s	3.2	99	99
911s	3.2	100	100
912s	3.2	100	100
913s	3.2	100	99
915s	3.2	100	99
916s	3.1	100	99
917s	3.1	100	97
919s	3.2	100	99
920s	0.2	0	0
922s	5.4	0	0
923s	48.8	0	0
924s	38.9	64	0
926s	5.5	100	100
927s	3.2	100	99
929s	3.1	100	100
930s	3.1	99	98
931s	3.2	99	99
933s	3.2	100	100
934s	3.2	100	100
935s	3.1	100	99
937s	3.2	100	100
938s	3.2	100	99
939s	3.2	100	99
941s	3.2	100	100
942s	3.2	100	100
943s	3.2	100	98
945s	3.2	99	99
946s	3.2	100	100
947s	1.6	35	0
949s	0.2	0	0
950s	48.8	0	0
952s	62.1	0	0
953s	10.6	100	100
954s	3.2	99	98
956s	3.2	100	100
957s	3.1	100	99
958s	3.2	100	99
960s	3.2	100	100
961s	3.1	100	100
963s	3.2	100	100
964s	3.4	99	99
965s	3.1	100	100
967s	3.1	100	100
968s	3.2	99	99
969s	3.2	100	100
971s	3.2	100	99
972s	3.2	100	99
973s	3.1	100	100
975s	3.2	100	100
976s	0.3	0	0
978s	47.2	0	0
979s	60.7	0	0
980s	17.7	98	10
982s	3.2	99	99
983s	3.1	100	100
984s	3.2	100	100
986s	3.2	100	98
987s	3.2	100	100
988s	3.1	100	100
990s	3.2	100	100
991s	3.2	99	99
992s	3.1	100	100
994s	3.1	100	100
995s	3.2	100	100
996s	3.1	100	100
998s	3.2	100	99
999s	3.1	100	100
1001s	3.2	100	100
1002s	3.2	100	100
1003s	0.2	0	0
1005s	43.3	0	0
1006s	60.4	0	0
1007s	19.0	86	0
1009s	3.0	98	95
1010s	3.2	100	100
1011s	3.1	100	100
1013s	3.2	100	100
1014s	3.1	99	98
1016s	3.2	100	100
1017s	3.2	100	100
1018s	3.2	99	99
1020s	3.1	99	99
1021s	3.2	100	100
1022s	3.3	100	100
1024s	3.2	100	99
1025s	3.2	100	100
1026s	3.2	100	100
1028s	3.2	99	99
1029s	3.2	100	100
1030s	0.1	0	0
1032s	4.7	0	0
1033s	58.8	0	0
1035s	42.5	5	0
1036s	3.2	100	100
1037s	3.2	100	100
1039s	3.2	100	99
1040s	3.2	100	100
1041s	3.2	100	100
1043s	3.2	100	99
1044s	3.2	100	100
1045s	3.2	100	100
1047s	3.1	100	99
1048s	3.2	100	99
1049s	3.2	100	96
1051s	3.2	100	100
1052s	3.1	99	99
1053s	3.1	99	99
1055s	3.1	100	100
1056s	3.1	100	100
1058s	0.3	0	0
1059s	0.2	0	0
1060s	59.4	0	0
1062s	59.0	0	0
1063s	5.3	100	0
1064s	3.2	99	99
1066s	3.2	100	100
1067s	3.1	100	100
1069s	3.1	99	99
1070s	3.1	99	99
1071s	3.1	100	100
1073s	3.2	100	100
1074s	3.2	100	99
1075s	3.1	100	100
1077s	3.2	100	100
1078s	3.2	100	100
1079s	3.2	100	100
1081s	3.2	100	100
1082s	3.2	100	96
1083s	3.2	99	99
1085s	3.1	100	100
1086s	0.4	0	0
1087s	39.8	0	0
1089s	58.6	0	0
1090s	35.8	33	0
1092s	3.2	100	100
1093s	3.2	100	99
1094s	3.2	100	100
1096s	3.2	100	100
1097s	3.2	100	99
1098s	3.2	100	99
1100s	3.1	100	100
1101s	3.2	100	100
1102s	3.2	99	99
1104s	3.1	99	96
1105s	3.2	100	100
1106s	3.1	100	100
1108s	3.2	99	99
1109s	3.9	100	100
1110s	3.2	100	100
1112s	3.1	100	100
1113s	0.2	0	0
1114s	0.2	0	0
1116s	52.4	0	0
1117s	54.5	0	0
1119s	7.4	80	0
1120s	3.2	99	98
