epoch,iteration,throughput(MBs),iteration_time,time_diff,iter_persec
14,6,21.667358349474032,102.83215618133545,5.077059984207153, 1.18185663151316,110.0
14,6,23.599059988271655,102.84184408187866,5.085312843322754, 1.1799541059065681,120.0
14,6,23.56940900459619,102.81750893592834,5.091902494430542, 1.178471664315576,120.0
14,6,23.56274666808485,102.85917377471924,5.093062162399292, 1.1781381055672682,120.0
14,6,27.454415442779535,102.85360646247864,5.0999956130981445, 1.1766187949124978,140.0
14,7,23.81320503781729,103.64022922515869,5.879659652709961, 1.190661362461044,140.0
14,7,20.391807259043112,103.65100240707397,5.885151147842407, 1.1895227648180728,120.0
15,6,23.673788231469295,110.08467316627502,5.069281816482544, 1.183690135355815,120.0
15,6,25.628261935487753,110.08448576927185,5.072974681854248, 1.1828435813084215,130.0
15,6,21.681824453392956,110.08436465263367,5.073863983154297, 1.1826459150003137,110.0
15,6,25.60816486288611,110.09793853759766,5.076964378356934, 1.181915967469515,130.0
15,6,23.62994492520473,110.09944105148315,5.078803300857544, 1.1814979118946443,120.0
15,6,23.57288621408332,110.09943151473999,5.091130018234253, 1.1786453595420383,120.0
15,6,27.48738111420119,110.07445311546326,5.093692064285278, 1.1780316669259983,140.0
15,6,25.524857031697973,110.074538230896,5.093675374984741, 1.1780716480979974,130.0
16,6,19.938314546375373,117.24304175376892,5.015995740890503, 1.1962996689355605,100.0
16,6,19.92741322060005,117.28019690513611,5.018630504608154, 1.1956455885186814,100.0
16,6,17.93272082925578,117.28611946105957,5.018996715545654, 1.1955152330921843,90.0
16,6,23.888993149641394,117.28127551078796,5.023643255233765, 1.1944507346379039,120.0
16,6,23.86866244452247,117.25527453422546,5.02786660194397, 1.1934339711653221,120.0
16,6,25.84088736602901,117.28622245788574,5.03127384185791, 1.192657131282678,130.0
16,7,21.01397084785903,117.96713042259216,5.710962533950806, 1.2258158361689246,120.0
16,7,24.074090807304223,118.08328104019165,5.815736532211304, 1.2037052806066255,140.0
17,6,23.620272785742326,124.48193717002869,5.081088304519653, 1.1810149140428565,120.0
17,6,27.547966303241832,124.52303409576416,5.082342147827148, 1.1806276257724848,140.0
17,6,21.621135872293177,124.48918151855469,5.0879950523376465, 1.1793352366098284,110.0
17,6,17.691507609219894,124.51743268966675,5.0876593589782715, 1.1794347803061227,90.0
17,6,25.530843576786026,124.52831530570984,5.092497825622559, 1.178347343884156,130.0
17,7,22.48881899363622,125.2126100063324,5.780949115753174, 1.2109369067914664,130.0
17,7,25.508448376908966,125.32229471206665,5.881004095077515, 1.1903950298142785,150.0
17,7,22.084012312882525,125.31593704223633,5.887207269668579, 1.1891402322742026,130.0
18,6,23.75526712024699,131.70729088783264,5.0521240234375, 1.1877643090234518,120.0
18,6,25.727593120347027,131.74800515174866,5.053233861923218, 1.1874279910905003,130.0
18,6,23.73326848747169,131.7518277168274,5.056567192077637, 1.1866644315761703,120.0
18,6,21.750117867062738,131.74371361732483,5.057769536972046, 1.1863712958931871,110.0
18,6,27.619328666979044,131.75231981277466,5.069531440734863, 1.183686627803444,140.0
18,7,25.649356433720175,132.53848218917847,5.848511457443237, 1.1969709428824344,150.0
18,7,25.655707418415076,132.5310139656067,5.847054958343506, 1.1972668832448858,150.0
18,7,23.908372376650824,132.5115840435028,5.856342792510986, 1.195419689624637,140.0
19,6,25.566591732032848,138.95591259002686,5.085097789764404, 1.17999720542298,130.0
19,6,23.612350905295006,138.9830756187439,5.082406282424927, 1.1806179329734032,120.0
19,6,25.543855375347576,138.99528169631958,5.089766979217529, 1.178947889164444,130.0
19,6,21.609142945356165,139.00186562538147,5.090798616409302, 1.1786811315511672,110.0
19,6,23.550166036569454,138.96704149246216,5.095972537994385, 1.1775092384541666,120.0
19,6,25.43841342837391,139.0095329284668,5.110897779464722, 1.1740813866256612,130.0
19,7,22.45763314312328,139.70127534866333,5.789015531539917, 1.2092579163316612,130.0
19,7,20.377501400122924,139.79105305671692,5.889481544494629, 1.1886883998121427,120.0
20,6,25.582725606610847,146.22492098808289,5.08211874961853, 1.1807418466263513,130.0
20,6,25.575525824099177,146.25708651542664,5.083232164382935, 1.1804094932304219,130.0
20,6,23.56858566331432,146.27481150627136,5.091787815093994, 1.1784298349840177,120.0
20,6,25.5288222510995,146.27061676979065,5.092609882354736, 1.1782541069812207,130.0
20,6,23.52810881195355,146.271639585495,5.10072922706604, 1.1764069803876729,120.0
20,7,19.02724124544958,146.9249188899994,5.781556129455566, 1.2108250421116598,110.0
20,7,22.113140653949483,147.05257177352905,5.8793230056762695, 1.190708587753583,130.0
20,7,23.775023183785635,147.07202625274658,5.888974666595459, 1.1887522180699752,140.0
21,6,23.609030371861245,153.46576809883118,5.0831618309021, 1.1804522937925488,120.0
21,6,25.57204498312673,153.5012674331665,5.084148168563843, 1.1802489495706197,130.0
21,6,23.600237354440466,153.4952540397644,5.0850677490234375, 1.1800128083347767,120.0
21,6,23.593853985873682,153.5087959766388,5.086491823196411, 1.1796934734968612,120.0
21,6,25.550462629849964,153.51102018356323,5.088346719741821, 1.1792528950026946,130.0
21,6,25.54092868802112,153.47285342216492,5.090195655822754, 1.178812700687872,130.0
21,6,25.526705641048306,153.50622701644897,5.09307074546814, 1.1781561413772912,130.0
21,6,23.56456800931615,153.50622248649597,5.092824697494507, 1.1782290624220908,120.0
22,6,23.629429070091053,160.76522707939148,5.078916549682617, 1.1814721745770442,120.0
22,6,19.6901629555074,160.75978636741638,5.078962802886963, 1.181410054636959,100.0
22,6,25.542978255985407,160.76627659797668,5.089988708496094, 1.1789079037225663,130.0
22,6,25.48827578482652,160.74708127975464,5.100851535797119, 1.176383004115032,130.0
22,7,20.3938340595132,161.56131720542908,5.88468599319458, 1.1896411877915793,120.0
22,7,22.084434498083134,161.5733118057251,5.8869006633758545, 1.1891627245446166,130.0
22,7,20.380080716730163,161.53454208374023,5.888448238372803, 1.1888386194647422,120.0
22,7,20.36293631614218,161.56730699539185,5.8935112953186035, 1.18783924931476,120.0
23,6,21.79776116451912,167.9879286289215,5.046724796295166, 1.1889694086983127,110.0
23,6,21.75110326966094,167.9990589618683,5.057819604873657, 1.1864247655715097,110.0
23,6,21.710181287155653,168.01792430877686,5.067296504974365, 1.1841927653061373,110.0
23,6,25.642697296594413,167.98103022575378,5.070131063461304, 1.183510107851793,130.0
23,7,22.210840476931843,168.79859733581543,5.853368282318115, 1.1959691128473406,130.0
23,7,20.500998174073803,168.7922384738922,5.853807687759399, 1.1958923395283219,120.0
23,7,22.18336299200233,168.77154064178467,5.860653638839722, 1.1944893596523434,130.0
23,7,20.464941080952638,168.81507873535156,5.86421275138855, 1.1937890063571428,120.0
24,6,21.780707951525457,175.228773355484,5.050725221633911, 1.1880394568196142,110.0
24,6,21.761217777665,175.22189617156982,5.055271625518799, 1.1869763549222792,110.0
24,6,27.66230688877945,175.22992038726807,5.061506271362305, 1.185528387517014,140.0
24,6,23.70684099659863,175.23425889015198,5.062208414077759, 1.185342552310094,120.0
24,6,25.676506809088227,175.2017149925232,5.063565969467163, 1.1850706611446489,130.0
24,6,21.703153018389,175.23443055152893,5.068860769271851, 1.1838092931325832,110.0
24,6,21.66544550857302,175.21562910079956,5.077831029891968, 1.181752960531166,110.0
24,7,24.29031833994599,175.94136095046997,5.764062166213989, 1.2145167710756315,140.0
25,6,21.871834291644088,182.43469333648682,5.02959942817688, 1.1930099349609251,110.0
25,6,25.800884998673897,182.44008898735046,5.039016246795654, 1.1908108657259324,130.0
25,6,23.811780214577187,182.45055747032166,5.039810657501221, 1.1905897993000516,120.0
25,6,21.807810888263795,182.44255661964417,5.044525861740112, 1.1895177446933718,110.0
25,6,23.7889066219332,182.41527199745178,5.044755458831787, 1.189446174371968,120.0
25,6,25.773173187784057,182.4452998638153,5.044309139251709, 1.1895318011493152,130.0
25,7,22.566514286206196,183.13163876533508,5.761188745498657, 1.2151208046647193,130.0
25,7,20.495351498632278,183.26597833633423,5.855570316314697, 1.195563095750545,120.0
26,6,21.662096815427418,189.66173458099365,5.078412771224976, 1.1815696383965961,110.0
26,6,23.562669452085924,189.71656942367554,5.093490362167358, 1.178134520533208,120.0
